"","genres","movie_title","director_name","content_rating","imdb_score","title_year","number"
"1","Action","King Kong ","Peter Jackson","PG-13",7.2,2005,3
"2","Action","The Fast and the Furious ","Rob Cohen","PG-13",6.7,2001,3
"3","Adventure","Home ","Tim Johnson","PG",6.7,2015,3
"4","Adventure","King Kong ","Peter Jackson","PG-13",7.2,2005,3
"5","Adventure","Pan ","Joe Wright","PG",5.8,2015,3
"6","Animation","Home ","Tim Johnson","PG",6.7,2015,3
"7","Comedy","Home ","Tim Johnson","PG",6.7,2015,3
"8","Crime","The Fast and the Furious ","Rob Cohen","PG-13",6.7,2001,3
"9","Drama","King Kong ","Peter Jackson","PG-13",7.2,2005,3
"10","Drama","Victor Frankenstein ","Paul McGuigan","PG-13",6,2015,3
"11","Family","Home ","Tim Johnson","PG",6.7,2015,3
"12","Family","Pan ","Joe Wright","PG",5.8,2015,3
"13","Fantasy","Home ","Tim Johnson","PG",6.7,2015,3
"14","Fantasy","Pan ","Joe Wright","PG",5.8,2015,3
"15","Horror","Halloween ","John Carpenter","R",7.9,1978,3
"16","Horror","Victor Frankenstein ","Paul McGuigan","PG-13",6,2015,3
"17","Romance","King Kong ","Peter Jackson","PG-13",7.2,2005,3
"18","Sci-Fi","Home ","Tim Johnson","PG",6.7,2015,3
"19","Sci-Fi","Victor Frankenstein ","Paul McGuigan","PG-13",6,2015,3
"20","Thriller","Halloween ","John Carpenter","R",7.9,1978,3
"21","Thriller","The Fast and the Furious ","Rob Cohen","PG-13",6.7,2001,3
"22","Thriller","Victor Frankenstein ","Paul McGuigan","PG-13",6,2015,3
"23","Action","Around the World in 80 Days ","Frank Coraci","PG",5.8,2004,2
"24","Action","Casino Royale ","Martin Campbell","PG-13",8,2006,2
"25","Action","Clash of the Titans ","Louis Leterrier","PG-13",5.8,2010,2
"26","Action","Dawn of the Dead ","Zack Snyder","R",7.4,2004,2
"27","Action","Dredd ","Pete Travis","R",7.1,2012,2
"28","Action","Exodus: Gods and Kings ","Ridley Scott","PG-13",6.1,2014,2
"29","Action","Fantastic Four ","Josh Trank","PG-13",4.3,2015,2
"30","Action","Ghostbusters ","Paul Feig","PG-13",5.5,2016,2
"31","Action","Hercules ","Brett Ratner","PG-13",6,2014,2
"32","Action","Hero ","Yimou Zhang","PG-13",7.9,2002,2
"33","Action","Jack Reacher ","Christopher McQuarrie","PG-13",7,2012,2
"34","Action","Left Behind ","Vic Armstrong","PG-13",3.1,2014,2
"35","Action","Mercury Rising ","Harold Becker","R",6.1,1998,2
"36","Action","Planet of the Apes ","Tim Burton","PG-13",5.7,2001,2
"37","Action","Point Break ","Ericson Core","PG-13",5.3,2015,2
"38","Action","RoboCop ","José Padilha","PG-13",6.2,2014,2
"39","Action","Sabotage ","David Ayer","R",5.7,2014,2
"40","Action","Skyfall ","Sam Mendes","PG-13",7.8,2012,2
"41","Action","Snakes on a Plane ","David R. Ellis","R",5.6,2006,2
"42","Action","Snitch ","Ric Roman Waugh","PG-13",6.5,2013,2
"43","Action","Spider-Man 3 ","Sam Raimi","PG-13",6.2,2007,2
"44","Action","Teenage Mutant Ninja Turtles ","Jonathan Liebesman","PG-13",5.9,2014,2
"45","Action","The Avengers ","Joss Whedon","PG-13",8.1,2012,2
"46","Action","The Island ","Michael Bay","PG-13",6.9,2005,2
"47","Action","The Karate Kid ","John G. Avildsen","PG",7.2,1984,2
"48","Action","The Legend of Tarzan ","David Yates","PG-13",6.6,2016,2
"49","Action","The Tourist ","Florian Henckel von Donnersmarck","PG-13",6,2010,2
"50","Action","The Watch ","Akiva Schaffer","R",5.7,2012,2
"51","Action","Total Recall ","Paul Verhoeven","R",7.5,1990,2
"52","Action","TRON: Legacy ","Joseph Kosinski","PG",6.8,2010,2
"53","Action","Unknown ","Jaume Collet-Serra","PG-13",6.9,2011,2
"54","Adventure","Alice in Wonderland ","Tim Burton","PG",6.5,2010,2
"55","Adventure","Around the World in 80 Days ","Frank Coraci","PG",5.8,2004,2
"56","Adventure","Big Fat Liar ","Shawn Levy","PG",5.4,2002,2
"57","Adventure","Casino Royale ","Martin Campbell","PG-13",8,2006,2
"58","Adventure","Clash of the Titans ","Louis Leterrier","PG-13",5.8,2010,2
"59","Adventure","Conan the Barbarian ","John Milius","R",6.9,1982,2
"60","Adventure","Exodus: Gods and Kings ","Ridley Scott","PG-13",6.1,2014,2
"61","Adventure","Fantastic Four ","Josh Trank","PG-13",4.3,2015,2
"62","Adventure","Goosebumps ","Rob Letterman","PG",6.4,2015,2
"63","Adventure","Hercules ","Brett Ratner","PG-13",6,2014,2
"64","Adventure","Hero ","Yimou Zhang","PG-13",7.9,2002,2
"65","Adventure","Oz the Great and Powerful ","Sam Raimi","PG",6.4,2013,2
"66","Adventure","Planet of the Apes ","Tim Burton","PG-13",5.7,2001,2
"67","Adventure","Skyfall ","Sam Mendes","PG-13",7.8,2012,2
"68","Adventure","Snakes on a Plane ","David R. Ellis","R",5.6,2006,2
"69","Adventure","Spider-Man 3 ","Sam Raimi","PG-13",6.2,2007,2
"70","Adventure","Teenage Mutant Ninja Turtles ","Jonathan Liebesman","PG-13",5.9,2014,2
"71","Adventure","The Avengers ","Joss Whedon","PG-13",8.1,2012,2
"72","Adventure","The Island ","Michael Bay","PG-13",6.9,2005,2
"73","Adventure","The Jungle Book ","Jon Favreau","PG",7.8,2016,2
"74","Adventure","The Legend of Tarzan ","David Yates","PG-13",6.6,2016,2
"75","Adventure","The Twilight Saga: Breaking Dawn - Part 2 ","Bill Condon","PG-13",5.5,2012,2
"76","Adventure","TRON: Legacy ","Joseph Kosinski","PG",6.8,2010,2
"77","Biography","Eddie the Eagle ","Dexter Fletcher","PG-13",7.5,2016,2
"78","Biography","Unbroken ","Angelina Jolie Pitt","PG-13",7.2,2014,2
"79","Comedy","Aloha ","Cameron Crowe","PG-13",5.4,2015,2
"80","Comedy","Around the World in 80 Days ","Frank Coraci","PG",5.8,2004,2
"81","Comedy","Big Fat Liar ","Shawn Levy","PG",5.4,2002,2
"82","Comedy","Chasing Liberty ","Andy Cadiff","PG-13",6.1,2004,2
"83","Comedy","Crossroads ","Tamra Davis","PG-13",3.3,2002,2
"84","Comedy","Death at a Funeral ","Frank Oz","R",7.4,2007,2
"85","Comedy","Dodgeball: A True Underdog Story ","Rawson Marshall Thurber","PG-13",6.7,2004,2
"86","Comedy","Eddie the Eagle ","Dexter Fletcher","PG-13",7.5,2016,2
"87","Comedy","Ghostbusters ","Paul Feig","PG-13",5.5,2016,2
"88","Comedy","Goosebumps ","Rob Letterman","PG",6.4,2015,2
"89","Comedy","Juno ","Jason Reitman","PG-13",7.5,2007,2
"90","Comedy","Snatch ","Guy Ritchie","R",8.3,2000,2
"91","Comedy","Stealing Harvard ","Bruce McCulloch","PG-13",5.1,2002,2
"92","Comedy","Teenage Mutant Ninja Turtles ","Jonathan Liebesman","PG-13",5.9,2014,2
"93","Comedy","The Full Monty ","Peter Cattaneo","R",7.2,1997,2
